종목명	회사구분	접수일자	보고서명(정지유형)	제출인
동원산업 IR	유	2024.12.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
DKME	유	2024.11.26	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
빙그레	유	2024.11.22	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신세계건설	기	2024.11.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
디아이동일	유	2024.11.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
DS단석	유	2024.11.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
지누스 IR	유	2024.11.04	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동부건설	유	2024.10.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
금양	유	2024.10.28	매매거래정지및정지해제(불성실공시)	유가증권시장본부
코리안리	유	2024.10.23	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
고려아연	유	2024.10.02	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
GS건설 IR	유	2024.09.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신세계I&C	유	2024.09.26	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
다이나믹디자인	유	2024.09.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
락앤락	기	2024.08.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KC그린홀딩스	유	2024.08.27	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KC그린홀딩스	유	2024.08.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KC코트렐	유	2024.08.14	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SK이터닉스 IR	유	2024.08.05	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SK이노베이션	유	2024.07.17	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
두산로보틱스	유	2024.07.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
두산밥캣	유	2024.07.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
두산에너빌리티 IR	유	2024.07.11	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
현대글로비스	유	2024.06.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
코아스	유	2024.06.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
대동전자	기	2024.06.18	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
SIMPAC	유	2024.06.17	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
DN오토모티브	유	2024.06.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동아타이어공업	기	2024.06.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
GS리테일	유	2024.06.03	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
경동나비엔	유	2024.05.08	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
쌍용씨앤이	기	2024.04.23	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한화에어로스페이스	유	2024.04.05	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SNT에너지	유	2024.03.29	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한창	유	2024.03.28	[기재정정] 매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
한창	유	2024.03.28	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
경보제약	유	2024.03.27	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
NH투자증권	유	2024.03.21	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
