종목명	시장	접수일자	정지사유	제출인
국일제지	코	2026.04.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
핑거스토리	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
포니링크	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이노테나	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에이루트	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에쎈테크	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
상보	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
대동기어	코	2026.04.22	무상증자	코스닥시장본부
신한제11호기업인수목적	기	2026.04.22	상장폐지 사유발생	코스닥시장본부
SBI인베스트먼트	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
CS	코	2026.04.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
포인트엔지니어링	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
윈팩	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엑스플러스	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
앤씨앤	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨유메디칼	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비츠로시스	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
벨로크	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
딜리	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
디에스엠	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
SG&G	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
HLB바이오스텝 IR	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
CNT85	코	2026.04.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
풍전약품	코	2026.04.20	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔에이치기업인수목적30호	기	2026.04.20	SPAC 소멸합병	코스닥시장본부
조이웍스앤코	코	2026.04.17	무상증자	코스닥시장본부
솔트웨어	코	2026.04.15	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비트플래닛	코	2026.04.15	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
원풍물산	기	2026.04.15	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
큐라티스	코	2026.04.14	자본감소	코스닥시장본부
엘컴텍	코	2026.04.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에코볼트	코	2026.04.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
사토시홀딩스 IR	코	2026.04.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한울반도체	코	2026.04.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
티엘비	코	2026.04.10	무상증자	코스닥시장본부
오션인더블유	코	2026.04.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엑시온그룹	코	2026.04.10	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
썸에이지	코	2026.04.10	자본감소	코스닥시장본부
디바이스	코	2026.04.10	무상증자	코스닥시장본부
휴마시스	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한국미라클피플사	넥	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
크레오에스지	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코스리거글로벌	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코디	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케이피엠테크	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케이엠제약	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케이바이오랩스	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
지니틱스	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
